word,doc_freq
moga,465
dr,352
kasih,290
terima,288
manfaat,253
halo,247
bantu,183
hai,156
alodokter,150
salam,139
sekian,85
informasi,81
ya,73
sukiman,57
muliani,57
selamat,26
com,18
yan,17
jati,17
william,16
dear,15
yosephine,15
jessica,15
sehat,14
alo,14
malam,13
rony,12
radius,11
lekas,11
wijaya,11
kusuma,11
aloisia,10
ikan,10
sembuh,10
paham,9
lili,8
khawatir,8
mudah,8
yusi,8
info,8
coba,8
arief,8
konsultasi,8
layan,8
pagi,7
surya,7
nadia,7
nurotul,7
fuadah,7
senantiasa,7
mega,6
djan,6
cecilia,6
radhianie,6
irna,6
pertanyaanya,6
andika,6
devika,6
mira,6
theresia,5
baca,5
winoto,5
prasetyo,5
christian,5
rahayu,5
budiono,5
ulfi,5
previyanti,5
erti,4
simanungkalit,4
amadeo,4
lia,4
diskusi,4
vita,4
adhi,4
sylvia,4
basfiansa,4
haryanto,4
putri,4
keluh,4
denisa,3
keluarga,3
iskandar,3
fadhil,3
alyssa,3
sore,3
sakit,3
rahmadiansyah,3
siti,3
muhammad,3
krisetya,3
otniel,3
siang,3
hi,3
bmedsc,3
indriati,3
danny,3
winda,3
miranti,3
intan,3
debby,3
budi,3
rievia,3
fildzah,3
caecilia,3
kekhwatiran,3
amalina,3
kenal,3
nofrina,3
tantya,3
tama,3
dian,2
nur,2
billa,2
sonia,2
salsa,2
annes,2
novita,2
yulius,2
haris,2
aman,2
feby,2
anthony,2
evani,2
angga,2
satya,2
wr,2
bu,2
angel,2
wb,2
rama,2
tania,2
eva,2
wassalam,2
bunda,2
indah,2
fitri,2
aldo,2
tri,2
phanggestu,2
rio,2
steffhy,2
saphira,2
haloterima,2
saudara,2
aldy,2
aryapti,2
yen,2
adilla,2
agatha,2
imron,2
tony,2
jesika,2
valentino,2
satriyo,2
yuniar,2
ayu,2
darah,2
haryu,2
sueningrat,2
syifa,1
rahmayanti,1
ita,1
batuk,1
liea,1
mar,1
achmad,1
mutiara,1
ain,1
natalia,1
fendy,1
den,1
nurwahida,1
nazly,1
hello,1
dhaniex,1
nesa,1
shintia,1
yogie,1
rohmahmila,1
bici,1
imbing,1
pelembab,1
roflia,1
deswita,1
estuworo,1
yayan,1
ibnu,1
irvandi,1
mella,1
iritasi,1
agung,1
sari,1
thoriqotil,1
dina,1
nona,1
edi,1
ishaq,1
pinggang,1
andrean,1
pasha,1
taneya,1
afriiyanthie,1
syifawzia,1
yanti,1
afleni,1
luh,1
ameliasyuh,1
ibrahim,1
gastritis,1
shiwak,1
wabarokatuh,1
arnold,1
putih,1
febriana,1
rstykcts,1
rhach,1
kenya,1
waalaikumusalam,1
laku,1
bagas,1
asa,1
sawiyah,1
aktivitas,1
mitaas,1
sinar,1
meta,1
justin,1
hilmi,1
ingrid,1
yulianto,1
perlahan,1
greta,1
caca,1
septiadi,1
usus,1
kontrasepsi,1
alya,1
cintya,1
jovan,1
pradita,1
kinasih,1
desya,1
nameil,1
wulandari,1
mayang,1
testis,1
agus,1
waalikumsalam,1
amy,1
harjo,1
nalurita,1
adriana,1
gung,1
caiank,1
wiliam,1
okky,1
faizarkala,1
anhyy,1
linda,1
makruf,1
kunjung,1
rahmadina,1
ujang,1
asih,1
yuni,1
baiq,1
feronica,1
dolken,1
fia,1
sistersossis,1
radang,1
rokhman,1
dika,1
riswan,1
zahra,1
putu,1
kulit,1
dinda,1
matahari,1
yovi,1
adhios,1
purba,1
belah,1
balita,1
area,1
darren,1
sarah,1
thabitasela,1
izatika,1
ainul,1
nadhyah,1
herdiany,1
hidayatul,1
albert,1
poedji,1
sryadi,1
septii,1
tanti,1
warahmatullahi,1
tangan,1
evo,1
herie,1
umar,1
rizky,1
infeksi,1
ayesha,1
kristowati,1
anatasya,1
gendys,1
citra,1
mandasari,1
qurrota,1
tanda,1
inar,1
yah,1
rahma,1
kharis,1
ahmad,1
herman,1
wahyu,1
hany,1
jana,1
faktor,1
naya,1
adisaputra,1
alat,1
kiri,1
hardyno,1
jessy,1
vidya,1
fachriani,1
harisah,1
dewi,1
amelia,1
fahmyrusdi,1
devianii,1
meissy,1
iri,1
mrdwann,1
desper,1
ummu,1
samsudin,1
vilola,1
stuti,1
felicia,1
frasel,1
syafrina,1
azumane,1
koswara,1
losion,1
anisa,1
bertanyak,1
aprilza,1
mia,1
wajah,1
sdr,1
rr,1
geraldine,1
libela,1
diyah,1
nila,1
semingu,1
prisbianto,1
egy,1
permata,1
rico,1
nanda,1
tim,1
cindy,1
resti,1
lydias,1
wiwit,1
triana,1
luka,1
chandra,1
buntu,1
ridha,1
had,1
emna,1
nesti,1
zulfikar,1
melinda,1
ratu,1
nola,1
mika,1
aldokter,1
kresnawati,1
forum,1
dharma,1
rizqia,1
sindy,1
ens,1
rosyidah,1
yeniputeri,1
pradhytaarya,1
ramadhan,1
zahrotul,1
terimakasih,1
melly,1
dean,1
tika,1
lisa,1
erizta,1
mawar,1
rikaherayani,1
rifka,1
audyalveria,1
aju,1
yuli,1
oles,1
lus,1
jatiningrum,1
kartika,1
novyanto,1
dianwijayanti,1
upus,1
indra,1
tata,1
carolina,1
waalaikumsalam,1
ummyaisyah,1
piraaprilia,1
nurul,1
febi,1
marlien,1
ferawaty,1
tabir,1
sus,1
nirvana,1
yulvia,1
parah,1
jaenudin,1
anjur,1
hadap,1
dokter,1
terimaksih,1
ira,1
hitam,1
halowaalaikumsalam,1
kencing,1
simak,1
nuru,1
akmal,1
dede,1
nolaa,1
urin,1
perut,1
friscilla,1
adlan,1
salur,1
langkah,1
nuri,1
cha,1
vie,1
bingung,1
valan,1
rizki,1
eben,1
saepuloh,1
desviano,1
habzy,1
lina,1
andriyani,1
hennie,1
retna,1
yana,1
rose,1
hanny,1
nadra,1
fani,1
rebecca,1
wilson,1
hutabarat,1
ade,1
heny,1
hindar,1
tiara,1
eni,1
kujirijino,1
natasha,1
icha,1
asyiffa,1
farikha,1
henry,1
lily,1
alami,1
ina,1
alf,1
firdagstn,1
ganti,1
pertanyannya,1
mamih,1
iriyanti,1
endah,1
kayla,1
tambak,1
saudari,1
tingkat,1
risma,1
dendy,1
wawan,1
liana,1
ruang,1
waalaikum,1
manz,1
setiono,1
lopolisa,1
scrubbing,1
ihot,1
rizkisusan,1
dewiq,1
