word,doc_freq
menstruasi,7
ginjal,6
dokter,6
alami,6
nyeri,6
darah,6
laku,5
maksud,5
alam,5
batu,5
jalan,5
perut,4
bayi,4
hamil,4
buang,4
sakit,4
air,4
batuk,3
kondisi,3
obat,3
milik,3
tama,3
atur,3
ganggu,3
gejala,3
periksa,3
siklus,3
keluh,3
kali,3
hubung,3
berat,2
testis,2
riwayat,2
benjol,2
operasi,2
persis,2
coba,2
stres,2
perhati,2
seksual,2
plastik,2
merah,2
demam,2
hernia,2
kista,2
kait,2
lahir,2
mengkonfirmasi,2
kenal,2
subur,2
orang,2
konsumsi,2
terpal,2
informasi,2
sulit,2
diagnosis,2
telan,2
sel,1
perlahan,1
infeksi,1
tik,1
nanah,1
habis,1
langsung,1
muncul,1
anak,1
pasang,1
usia,1
mengi,1
kontrasepsi,1
lipat,1
usus,1
tes,1
pasir,1
didiagnosa,1
ejan,1
hebat,1
lubang,1
haid,1
timbul,1
hilang,1
hidup,1
urus,1
pakai,1
testpack,1
sembuh,1
picu,1
lahan,1
ayah,1
rekan,1
kakak,1
kemih,1
jalin,1
taksir,1
inguinalis,1
radang,1
selesai,1
telat,1
rupa,1
tunjang,1
angkat,1
singgung,1
janin,1
lengkap,1
ajar,1
suara,1
paha,1
lihat,1
bekas,1
bahaya,1
keluarga,1
lantas,1
dahak,1
nyata,1
tangan,1
urin,1
jenis,1
cair,1
langkah,1
aman,1
buntu,1
vagina,1
hitung,1
sendi,1
muntah,1
signifikan,1
lemas,1
basah,1
grok,1
tanda,1
eritrosit,1
bercak,1
mengkonsulkan,1
adik,1
bengkak,1
anyang,1
napas,1
tindak,1
alat,1
jatuh,1
fertilitas,1
bab,1
salah,1
otot,1
derita,1
pusing,1
kerja,1
rawat,1
makan,1
cenderung,1
sosial,1
minum,1
pusar,1
