IdData,IdKalimat,Data,DataCleaned,Label,DataEditGreedy,DataEditOptimal,LabelGreedy,LabelOptimal
0,0,"Halo yayan, Terima kasih atas pertanyaannya",halo yayan terima kasih,F1,0,0,Fx,Fx
0,1,"Berdasarkan riwayat keluhan istri Anda yang sudah Anda sampaikan, yaitu muntah - muntah dan diare lebih dari 5 - 10x, terdapat kemungkinan kondisi yang dialami oleh istri Anda, salah satunya adalah keracunan makanan, infeksi saluran cerna, adanya malapsorbsi / intoleransi makanan yang ditandai dengan gejala - gejala yang Anda sebutkan tersebut",dasar riwayat keluh istri muntah muntah diare x kondisi alami istri salah racun makan infeksi salur cerna malapsorbsi intoleransi makan tanda gejala gejala,F4,1,1,F4,F4
0,2,Gejala muntah dan diare pada dasarnya merupakan respon tubuh yang wajar sebagaimana tubuh berusaha mengeluarkan toksin / racun dari makanan / minuman yang terkontaminasi yang dikonsumsi sebelumnya,gejala muntah diare dasar rupa respon tubuh wajar tubuh usaha toksin racun makan minum kontaminasi konsumsi,F3,1,1,F4,F4
0,3,Kondisi ini dapat membaik dengan sendirinya dalam hitungan beberapa hari tanpa perlu pengobatan khusus dari dokter,kondisi hitung obat khusus dokter,F3,2,2,F3,F3
0,4,"Pantau terus gejala yang muncul, kembalikan cairan tubuh yang keluar, dan monitor tanda - tanda dehidrasi seperti lemas, mata cowong, tidak buang air kecil lebih dari 6 jam atau urin berwarna pekat, mulut kering dan rasa sangat haus, dan adanya tanda - tanda kebingungan",pantau gejala muncul cair tubuh monitor tanda tanda dehidrasi lemas mata cowong buang air jam urin warna pekat mulut kering haus tanda tanda bingung,F5,3,3,Fx,Fx
0,5,"Selain itu, berikut anjuran yang dapat dilakukan untuk mengurangi keluhan: Menghindari makan terlebih dahulu selama beberapa jam",anjur laku keluh hindar makan jam,F5,4,4,F5,F5
0,6,"Minum air, sup, atau minuman elektrolit untuk membantu mengembalikan cairan yang keluar dari tubuh istri Anda",minum air sup minum elektrolit bantu cair tubuh istri,F5,4,4,F5,F5
0,7,"Ketika makan nanti, makan sedikit - sedikit dengan makanan yang tawar seperti roti - rotian, nasi / bubur, biskuit",makan makan makan tawar roti roti nasi bubur biskuit,F5,4,4,F5,F5
0,8,Istirahat yang cukup,istirahat,F5,4,4,F5,F5
0,9,"Menghindari susu dan produk susu, kopi, minuman bersoda, dan makanan asam / pedas / berlemak terlebih dahulu",hindar susu produk susu kopi minum soda makan asam pedas lemak,F5,5,5,F1,F1
0,10,"Apabila gejala tidak membaik dalam waktu 3 - 5 hari, masih terus muntah atau diare dan terdapat darah di dalamnya, demam, lemas, langsung hubungi petugas fasilitas layanan kesehatan terdekat",gejala muntah diare darah demam lemas langsung hubung tugas fasilitas layan sehat,F5,5,5,F1,F1
0,11,Semoga informasi ini dapat membantu dan semoga lekas sembuh,moga informasi bantu moga lekas sembuh,F1,5,5,F1,F1
0,12,Salam,salam,F1,5,5,F1,F1
1,0,Halo,halo,F1,0,0,Fx,Fx
1,1,Terima kasih atas pertanyaan yang disampaikan ke Alodokter,terima kasih alodokter,F1,1,1,F3,F3
1,2,Kami dapat memahami kekhawatiran yang Anda rasakan,paham khawatir,F1,1,1,F3,F3
1,3,"Siklus menstruasi diawali oleh penglepasan sel telur dari indung telur ke rahim, yang diikuti oleh penebalan dinding rahim untuk persiapan menempelnya hasil fertilisasi / pembuahan sel telur oleh sperma",siklus menstruasi penglepasan sel telur indung telur rahim tebal dinding rahim tempel hasil fertilisasi buah sel telur sperma,F3,1,1,F3,F3
1,4,"Bila sel telur tidak dibuahi oleh sperma, dinding rahim akan meluruh sehingga keluar melalui vagina dalam bentuk darah serta sel - sel yang rusak",sel telur buah sperma dinding rahim luruh vagina bentuk darah sel sel rusak,F3,1,1,F3,F3
1,5,"Siklus menstruasi biasanya berlangsung setiap 21 - 35 hari, dengan haid yang berlangsung selama 2 - 8 hari, dan volume darah haid berkisar dari 20 - 60 mL (setara dengan 1 - 6 pembalut sehari)",siklus menstruasi langsung haid langsung volume darah haid kisar ml tara balut,F3,1,1,F3,F3
1,6,Tidak menutup kemungkinan bahwa gejala ketidakteraturan menstruasi yang Anda alami merupakan bentuk gangguan haid,tutup gejala ketidakteraturan menstruasi alami rupa bentuk ganggu haid,F4,1,1,F3,F3
1,7,"Ada beberapa kemungkinan bentuk gangguan haid, yang tersering antara lain: Metroragia, yaitu perdarahan haid yang interval antarhaidnya tak teratur",bentuk ganggu haid metroragia darah haid interval antarhaidnya atur,F3,1,1,F3,F3
1,8,"Menometroragia, yaitu peningkatan volume / durasi perdarahan haid yang disertai interval antarhaid yang tidak teratur",menometroragia tingkat volume durasi darah haid interval antarhaid atur,F3,1,1,F3,F3
1,9,"Hipermenorea / menoragia, yaitu peningkatan volume perdarahan haid (lebih dari 80 mL darah / hari) dan / atau memanjangnya durasi haid (lebih dari 7 hari), tetapi dengan interval antarhaid yang tetap normal",hipermenorea menoragia tingkat volume darah haid ml darah durasi haid interval antarhaid normal,F3,2,2,F4,F4
1,10,"Ada banyak kemungkinan penyebab gangguan haid, meliputi: Masalah pada organ reproduksi (rahim, leher rahim, saluran / tuba falopi, indung telur), termasuk pula sindrom polikistik ovarium",ganggu haid liput organ reproduksi rahim leher rahim salur tuba falopi indung telur masuk sindrom polikistik ovarium,F3,3,3,Fx,Fx
1,11,"Faktor - faktor lain di luar sistem organ reproduksi, meliputi: gangguan hormonal, efek samping obat, gangguan pembekuan darah, stres, episode depresi)",faktor faktor sistem organ reproduksi liput ganggu hormonal efek samping obat ganggu beku darah stres episode depresi,F3,3,3,Fx,Fx
1,12,"Supaya kondisi Anda dapat dievaluasi dan ditangani secara tepat, kami menyarankan Anda untuk memeriksakan diri secara langsung ke dokter spesialis kebidanan dan kandungan",kondisi evaluasi tangan saran periksa langsung dokter spesialis bidan kandung,F5,4,4,F5,F5
1,13,"Selain anamnesis dan pemeriksaan fisis, dokter mungkin menyarankan pemeriksaan penunjang bila ditemukan indikasi, misalnya: ultrasonografi (USG) kandungan, pemeriksaan darah, atau CT - scan",anamnesis periksa fisis dokter saran periksa tunjang temu indikasi ultrasonografi usg kandung periksa darah ct scan,F5,4,4,F5,F5
1,14,"Untuk membantu redakan keluhan, Anda disarankan untuk melakukan langkah - langkah sederhana berikut ini: Istirahat yang cukup",bantu reda keluh saran laku langkah langkah sederhana istirahat,F5,5,5,Fx,Fx
1,15,"Jaga berat badan dalam rentang normal, Makan makanan bergizi seimbang secara teratur",jaga berat badan rentang normal makan makan gizi imbang atur,F5,6,6,F1,F1
1,16,Rutin melakukan latihan fisik atau olahraga,rutin laku latih fisik olahraga,F5,6,6,F1,F1
1,17,Minum air putih paling tidak 8 gelas sehari Manajemen stres dengan baik,minum air putih gelas manajemen stres,F5,6,6,F1,F1
1,18,"Untuk memperkaya wawasan, Anda dapat membaca artikel tentang gangguan menstruasi",kaya wawas baca artikel ganggu menstruasi,F5,6,6,F1,F1
1,19,Demikian informasi dari kami,informasi,F1,6,6,F1,F1
1,20,Mudah - mudahan senantiasa sehat,mudah mudah senantiasa sehat,F1,6,6,F1,F1
1,21,Semoga bermanfaat,moga manfaat,F1,6,6,F1,F1
2,0,"Selamat pagi, terima kasih atas pertanyaannya",selamat pagi terima kasih,F1,0,0,Fx,F1
2,1,Reumatoid artritis (RA) merupakan penyakit autoimun dimana sistem kekebalan tubuh yang menyerang persendian sehingga menyebabkan peradangan kronis,reumatoid artritis ra rupa sakit autoimun sistem kebal tubuh serang sendi radang kronis,F3,0,0,Fx,F1
2,2,Obat anti inflamasi kortikosteroud dan nonsteroid digunakan untuk mengendalikan gejala RA,obat anti inflamasi kortikosteroud nonsteroid kendali gejala ra,F3,0,0,Fx,F1
2,3,Namun untuk mengontrol perkembangan penyakit perlu diberikan obat golongan disease - modifying antirheumatic drugs (DMARDs) seperti metotreksat,kontrol kembang sakit obat golong disease modifying antirheumatic drugs dmards metotreksat,F3,1,1,F3,Fx
2,4,Keduanya merupakan obat utama pada terapi RA ini,rupa obat utama terapi ra,F3,1,2,F3,Fx
2,5,"DMARDs dapat mempengaruhi perkembangan penyakit, tetapi membutuhkan waktu 4 - 6 bulan lamanya untuk mendapatkan respon terapi penuh",dmards pengaruh kembang sakit butuh respon terapi penuh,F3,2,3,Fx,Fx
2,6,Namun penggunaan metotreksat harus dibawah monitoring oleh dokter karena dalam jangka waktu panjang dapat mengakibatkan gangguan berbagai organ seperti penurunan fungsi hati dan ginjal,metotreksat monitoring dokter jangka akibat ganggu organ turun fungsi hati ginjal,F3,2,3,Fx,Fx
2,7,"Sehingga pemberian DMARDs sebaiknya dilakukan setelah diagnosis, perkembangan dan keparahan penyakit sudah dipastikan dan tidak semua pasien dapat diberikan",dmards laku diagnosis kembang parah sakit pasien,F3,3,4,Fx,F3
2,8,Umumnya pada tahap awal hanya diberikan anti inflamasi non steroid kemudian dilakukan evaluasi respon pengobatan,tahap anti inflamasi non steroid laku evaluasi respon obat,F3,3,4,Fx,F3
2,9,Lakukanlah konsultasi dengan dokter untuk mendapatkan terapi yang tepat sesuai dengan kondisi medis anda,laku konsultasi dokter terapi sesuai kondisi medis,F5,4,5,F5,F5
2,10,"Sekian, semoga dapat membantu Wassalam",sekian moga bantu wassalam,F1,5,5,F1,F5
3,0,"Halo Friscilla, terima kasih ya sudah bertanya di Alodokter",halo friscilla terima kasih ya alodokter,F1,0,0,F5,F5
