NoUrut,IdData,Data,Data Inggris,Label,HasilSegmen,DataAsliOptimal,DataAsliGreedy,DataEditOptimal,DataEditGreedy
0,0,"Halo yayan, Terima kasih atas pertanyaannya","Hello yayan, Thank you for the question",F1,0,1,1,0,0
1,0,"Berdasarkan riwayat keluhan istri Anda yang sudah Anda sampaikan, yaitu muntah - muntah dan diare lebih dari 5 - 10x, terdapat kemungkinan kondisi yang dialami oleh istri Anda, salah satunya adalah keracunan makanan, infeksi saluran cerna, adanya malapsorbsi / intoleransi makanan yang ditandai dengan gejala - gejala yang Anda sebutkan tersebut","Based on the history of your wife's complaints that you have conveyed, namely vomiting and diarrhea more than 5 - 10 times, there are possible conditions experienced by your wife, one of which is food poisoning, gastrointestinal infections, malabsorption / food intolerance which is characterized by symptoms - the symptoms you mentioned",F4,1,2,2,1,1
2,0,Gejala muntah dan diare pada dasarnya merupakan respon tubuh yang wajar sebagaimana tubuh berusaha mengeluarkan toksin / racun dari makanan / minuman yang terkontaminasi yang dikonsumsi sebelumnya,Symptoms of vomiting and diarrhea are basically a natural response of the body as the body tries to remove toxins / poisons from contaminated food / drinks that were consumed previously,F3,1,2,2,1,1
3,0,Kondisi ini dapat membaik dengan sendirinya dalam hitungan beberapa hari tanpa perlu pengobatan khusus dari dokter,This condition can improve on its own in a matter of a few days without the need for special treatment from,F3,2,1,1,2,2
4,0,"Pantau terus gejala yang muncul, kembalikan cairan tubuh yang keluar, dan monitor tanda - tanda dehidrasi seperti lemas, mata cowong, tidak buang air kecil lebih dari 6 jam atau urin berwarna pekat, mulut kering dan rasa sangat haus, dan adanya tanda - tanda kebingungan","Continue to monitor the symptoms that appear, restore body fluids that come out, and monitor for signs of dehydration such as weakness, cow's eyes, not urinating for more than 6 hours or dark colored urine, dry mouth and feeling very thirsty, and signs of confusion",F5,3,1,1,3,3
5,0,"Selain itu, berikut anjuran yang dapat dilakukan untuk mengurangi keluhan: Menghindari makan terlebih dahulu selama beberapa jam","In addition, the following can be done to reduce complaints: first eat a few hours first",F5,4,4,4,4,4
6,0,"Minum air, sup, atau minuman elektrolit untuk membantu mengembalikan cairan yang keluar dari tubuh istri Anda","Drink water, soup, or electrolyte drinks to help restore fluids that are out of your wife's body",F5,4,4,4,4,4
7,0,"Ketika makan nanti, makan sedikit - sedikit dengan makanan yang tawar seperti roti - rotian, nasi / bubur, biskuit","When eating later, eat a little with bland foods such as bread, rice / porridge, biscuits",F5,4,4,4,4,4
8,0,Istirahat yang cukup,Enough rest,F5,4,4,4,4,4
9,0,"Menghindari susu dan produk susu, kopi, minuman bersoda, dan makanan asam / pedas / berlemak terlebih dahulu","determine milk and dairy products, coffee, soft drinks, and sour / spicy / fat foods first",F5,5,4,4,5,5
10,0,"Apabila gejala tidak membaik dalam waktu 3 - 5 hari, masih terus muntah atau diare dan terdapat darah di dalamnya, demam, lemas, langsung hubungi petugas fasilitas layanan kesehatan terdekat","If symptoms do not improve in 3 - 5 days, still vomiting or diarrhea and there is blood in it, fever, contact the nearest service facility immediately",F5,5,4,4,5,5
11,0,Semoga informasi ini dapat membantu dan semoga lekas sembuh,Hopefully this information can help and successfully find violations,F1,5,4,4,5,5
12,0,Salam,regards,F1,5,4,4,5,5
13,1,Halo,Hello,F1,0,1,1,0,0
14,1,Terima kasih atas pertanyaan yang disampaikan ke Alodokter,Thank you for the questions submitted to Alodokter,F1,1,8,8,1,1
15,1,Kami dapat memahami kekhawatiran yang Anda rasakan,We can understand your concern,F1,1,8,8,1,1
16,1,"Siklus menstruasi diawali oleh penglepasan sel telur dari indung telur ke rahim, yang diikuti oleh penebalan dinding rahim untuk persiapan menempelnya hasil fertilisasi / pembuahan sel telur oleh sperma","The menstrual cycle begins with the release of an egg from the ovary to the uterus, which is followed by a thickening of the uterine wall in preparation for the attachment of the fertilized egg by sperm",F3,1,8,8,1,1
17,1,"Bila sel telur tidak dibuahi oleh sperma, dinding rahim akan meluruh sehingga keluar melalui vagina dalam bentuk darah serta sel - sel yang rusak","If the egg is not fertilized by sperm, the uterine wall will decay so that it comes out through the vagina in the form of blood and damaged cells",F3,1,8,8,1,1
18,1,"Siklus menstruasi biasanya berlangsung setiap 21 - 35 hari, dengan haid yang berlangsung selama 2 - 8 hari, dan volume darah haid berkisar dari 20 - 60 mL (setara dengan 1 - 6 pembalut sehari)","Menstrual cycles usually last every 21 - 35 days, with periods lasting 2 - 8 days, and menstrual blood volumes ranging from 20 - 60 mL (equivalent to 1 - 6 pads a day)",F3,1,8,8,1,1
19,1,Tidak menutup kemungkinan bahwa gejala ketidakteraturan menstruasi yang Anda alami merupakan bentuk gangguan haid,It is possible that the symptoms of menstrual irregularities that you are experiencing are a form of menstrual disorders,F4,1,8,8,1,1
20,1,"Ada beberapa kemungkinan bentuk gangguan haid, yang tersering antara lain: Metroragia, yaitu perdarahan haid yang interval antarhaidnya tak teratur","There are several possible forms of menstrual disorders, the most common of which include: Metrorrhagia, which is menstrual bleeding with irregular intervals between periods",F3,1,8,8,1,1
21,1,"Menometroragia, yaitu peningkatan volume / durasi perdarahan haid yang disertai interval antarhaid yang tidak teratur","Menometrorrhagia, which is an increase in the volume / duration of menstrual bleeding accompanied by irregular intervals between periods",F3,1,8,8,1,1
22,1,"Hipermenorea / menoragia, yaitu peningkatan volume perdarahan haid (lebih dari 80 mL darah / hari) dan / atau memanjangnya durasi haid (lebih dari 7 hari), tetapi dengan interval antarhaid yang tetap normal","Hypermenorrhea / menorrhagia, namely an increase in the volume of menstrual bleeding (more than 80 mL of blood / day) and / or a prolonged duration of menstruation (more than 7 days), but with normal intervals between menstruation",F3,2,1,1,2,2
23,1,"Ada banyak kemungkinan penyebab gangguan haid, meliputi: Masalah pada organ reproduksi (rahim, leher rahim, saluran / tuba falopi, indung telur), termasuk pula sindrom polikistik ovarium","There are many possible causes of menstrual disorders, including: Problems with the reproductive organs (womb, cervix, fallopian tubes / tubes, ovaries), including polycystic ovary syndrome",F3,3,2,2,3,3
24,1,"Faktor - faktor lain di luar sistem organ reproduksi, meliputi: gangguan hormonal, efek samping obat, gangguan pembekuan darah, stres, episode depresi)","Factors - other factors outside the reproductive organ system, including: hormonal disorders, drug side effects, blood clotting disorders, stress, depressive episodes)",F3,3,2,2,3,3
25,1,"Supaya kondisi Anda dapat dievaluasi dan ditangani secara tepat, kami menyarankan Anda untuk memeriksakan diri secara langsung ke dokter spesialis kebidanan dan kandungan","So that your condition can be evaluated and treated appropriately, we advise you to consult an obstetrician and gynecologist directly",F5,4,2,2,4,4
